Nr.;Vorname;Nachname;Geburtsdatum
1;Babette;Theile;23.09.1916
2;Michael;Passon;04.10.1975
3;Klaudius;Triebel;08.08.2000
4;Hanny;Frank;30.09.1967
5;Herold;Greco;19.11.1993
6;Wiltrud;Lewandowski;26.02.2009
7;Annarose;Viertel;05.03.1944
8;Edda;Knaup;22.07.2019
9;Annegreth;Gora;25.11.1905
10;Brünhild;Höfling;02.01.1927
11;Rudolfina;Tröger;22.09.1962
12;Ingemarie;Silber;14.09.1922
13;Käthe;Kaya;21.11.1998
14;Ignazia;Benner;15.10.1999
15;Mathis;Dudda;09.02.1984
16;Heinzdieter;Bühl;09.05.1988
17;Vincenz;Hüls;24.12.1918
18;Barbara;Eberlein;28.02.1928
19;Wingolf;Döring;28.04.1937
20;Friedemar;Kanter;04.04.1914
21;Franz;Klingberg;11.09.2006
22;Hansgünter;Tänzer;10.09.1952
23;Samuel;Bäuerle;16.01.1967
24;Marilu;Lein;26.06.2003
25;Emilie;Kappe;04.09.1926
26;Uranius;Aumann;12.03.1924
27;Ferdinandus;Gräff;29.08.1996
28;Ehrhard;Himstedt;13.04.2001
29;Gebhart;Bungert;29.04.1909
30;Liselotte;Raffel;08.02.1975
31;Ortfried;Lütjen;28.07.1960
32;Bertlinde;Wolfer;20.09.1926
33;Katy;Neubert;02.06.1966
34;Ivo;Niehues;29.03.2006
35;Liborius;Schrodt;16.04.2011
36;Peggy;Otterbein;18.05.1986
37;Gesine;Dey;10.03.1953
38;Hansgerd;Klimpel;06.01.1979
39;Sofie;Lynch;15.08.1984
40;Ursus;Gutermuth;06.04.1906
41;Bianka;Karstens;15.10.1998
42;Detlev;Werling;18.09.2002
43;Liebgard;Petrat;16.01.1913
44;Ehrengard;Schwer;01.08.2005
45;Sylvio;Harnisch;14.02.1978
46;Joel;Sachau;20.06.1908
47;Jolantha;Laakmann;01.09.1927
48;Eckart;Seck;09.12.1928
49;Siegharda;Jankowiak;18.06.1935
50;Gritt;Brieger;16.01.1927
51;Luitwin;Johann;21.06.2015
52;Wladislaus;Weinhardt;21.10.1918
53;Leonard;Karbe;05.09.1981
54;Burgunde;Fricke;15.04.2007
55;Barbara;Sutton;15.04.2021
56;Erlgard;Joseph;20.04.1971
57;Henriette;Krein;30.03.2017
58;Gunhild;Kasten;14.02.1960
59;Bardo;Venus;26.10.1979
60;Olinde;Hettler;09.10.1993
61;Mohammed;Luhmann;02.07.1976
62;Melisande;Harders;23.02.1909
63;Lotta;Kirsch;24.01.2004
64;Jill;Banse;20.03.1991
65;Leonie;Schilz;04.08.2016
66;Caspar;Halbach;31.10.2011
67;Willibert;Wanka;06.03.1971
68;Helmtraut;Wand;10.02.1984
69;Inkmar;Autenrieth;27.10.1933
70;Marcellus;Schott;07.02.2016
71;Wendelin;Förster;21.07.2017
72;Joschua;Goetze;27.02.2005
73;Falko;Holsten;07.11.1964
74;Patrik;Flade;13.04.1963
75;Erdwin;Wucherpfennig;14.10.1962
76;Gertraute;Wiener;08.08.1916
77;Irmhilde;Magin;10.06.1934
78;Leni;Plock;23.05.1933
79;Giselher;Klopsch;01.05.1995
80;Reinhildis;Ludwigs;20.05.2005
81;Hartmann;Bongard;13.07.2014
82;Burgfried;Zeilinger;28.04.1984
83;Reinfried;Pratt;17.12.1978
84;Ehrentraud;Baldwin;08.10.1980
85;Erwin;Franzen;08.04.2002
86;Samira;Seewald;13.04.1981
87;Wanda;Pleines;24.04.2004
88;Otwald;Hanselmann;24.09.1958
89;Falko;Friebel;23.05.2008
90;Winfried;Baldwin;19.04.1963
91;Thomas;Dahlmann;27.10.1968
92;Gerthilde;Eßmann;02.09.2013
93;Brita;Hesse;18.03.1930
94;Ingowart;Wischer;25.08.2015
95;Helen;Goetz;04.10.1975
96;Melisande;Lühmann;30.06.2016
97;Marina;Geppert;02.06.1924
98;Corinna;Rubin;21.11.1992
99;Siegmund;Gras;04.01.1934
100;Burgfried;Gier;04.06.1904
101;Notfried;Belz;11.01.1972
102;Lienhardt;Schönherr;08.08.1938
103;Kathrin;Sandra;30.10.2003
104;Rosie;Dillmann;26.09.1940
105;Hatto;Denzer;27.02.1977
106;Ignatia;Schwandt;22.10.1989
107;Christhelm;Krapf;20.10.1941
108;Barbara;Chambers;29.12.1981
109;Malwine;Nienstedt;17.05.1937
110;Romanus;Poloczek;23.04.2011
111;Hanna;Jeß;27.12.1932
112;Kay;Göke;09.07.1984
113;Helmfried;Behler;07.02.2015
114;Susann;Sänger;05.12.1946
115;Walburga;Nadolny;29.12.1961
116;Evchen;Welge;22.01.1940
117;Benedicta;Sacher;08.04.1910
118;Kathi;Schau;02.04.2004
119;Arite;Sehr;14.04.1946
120;Rico;Steffes;23.08.1905
121;Arwin;Lohoff;26.01.1903
122;Wulf;Striegl;19.08.1927
123;Alina;Stelzner;09.06.2003
